"wa","mw","mwlu"
"bdr:WA1KG15973","bdr:MW1KG15973","བྱང་ཆུབ་སེམས་དཔའི་སའི་རྣམ་གཞག་བཤད་པ།"
"bdr:WA3CN1458","bdr:MW3CN1458","མངོན་པ་ཀུན་བཏུས།"
"bdr:WA1NLM1160","bdr:MW1NLM1160","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ་སོགས།"
"bdr:WA2KG234645","bdr:MW2KG234645","བྱང་ཆུབ་སེམས་དཔའི་ས།"
"bdr:WA0XL3414589F2E5F","bdr:MW00EGS1016238_341458","སློབ་དཔོན་ཐོག་མེད་ཀྱིས་འདུལ་བ་བསྡུས་པ་ལས།"
"bdr:WA0XL4ECCB894A6B5","bdr:MW3CN3408_4ECCB8","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་རྣམ་པར་བཤད་པ།"
"bdr:WA22004","bdr:MW22004","མངོན་རྟོགས་རྒྱན་དང་དབུ་མ་འཇུག་པའི་རྩ་བ།"
"bdr:WA1KG16612","bdr:MW1KG16612","གངས་ཅན་རིག་བརྒྱའི་སྒོ་འབྱེད་ལྡེ་མིག ༼དེབ་ཉེར་བདུན་པ།༽"
"bdr:WA20400","bdr:MW20400","དབུས་མཐའ་རྣམ་འབྱེད་དང་ཆོས་དང་ཆོས་ཉིད་རྣམ་འབྱེད་རྩ་འགྲེལ།"
"bdr:WA1KG25252","bdr:MW1KG25252","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་ཀྱི་རྣམ་པར་བཤད་པ།"
"bdr:WA1KG22205","bdr:MW1KG22205","वज्रच्छेिदका प्रज्ञापारमितासूत्र तथा अाचार्य असङ्गकृत त्रिशतिकाकारिकासप्तति"
"bdr:WA1KG22205","bdr:MW1KG22205","རྡོ་རྗེ་གཅོད་པ་རྩ་འགྲེལ།"
"bdr:WA1AB1","bdr:MW1AB1","ཀུན་བཏུས་དར་ཊིཀ"
"bdr:WA1KG8853","bdr:MW1KG8853","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ།"
"bdr:WA1NLM1412","bdr:MW1NLM1412","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་ཤིན་རྟ་ཆེན་པོ་འཕགས་པ་ཐོགས་མེད་ཀྱིས་མཛད་པ་སོགས།"
"bdr:WA8LS32650","bdr:MW8LS32650","རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།"
"bdr:WA00KG02746","bdr:MW00KG02746","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས།"
"bdr:WA00KG02746","bdr:MW0NGMCP47259","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས།"
"bdr:WA4CZ16808","bdr:IE0GR0269","Bodhisattvabhumi"
"bdr:WA23639","bdr:IE0GR0264","Asanga: Abhidharmasamuccaya"
"bdr:WA00KG02837","bdr:MW00KG02837","རྒྱུད་བླ་མ།"
"bdr:WA00KG02837","bdr:MW00KG02837","mahayana uttaratantra shastra"
"bdr:WA00KG02837","bdr:MW00KG02837","buddha-nature"
"bdr:WA8LS77101","bdr:MW8LS77101","དབུས་མཐའ་རྣམ་འབྱེད་དང་ཆོས་དང་ཆོས་ཉིད་རྣམ་འབྱེད་རྩ་འགྲེལ།"
"bdr:WA0RT0007","bdr:MW1PD95844_0007","ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ།"
"bdr:WA0RT0007","bdr:MW2KG5015_0796","ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ།"
"bdr:WA0RT0007","bdr:MW1KG13126_2007","ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ།"
"bdr:WA0RT0007","bdr:MW23703_1115","ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ།"
"bdr:WA0RT0007","bdr:MW23702_0007","ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ།"
"bdr:WA0RT0007","bdr:MW22704_0796","ཆོས་ཀྱི་སྐུ་ལ་གནས་པའི་ཡོན་ཏན་ཐུན་མོང་མ་ཡིན་པ་ལ་བསྟོད་པ།"
"bdr:WA0RT3321","bdr:MW23702_3484","འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3321","bdr:MW23703_3981","འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3321","bdr:MW1KG13126_5481","འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3321","bdr:MW2KG5015_4270","འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3321","bdr:MW22704_4270","འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3321","bdr:MW1PD95844_3212","འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3322","bdr:MW1PD95844_3213","སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།"
"bdr:WA0RT3322","bdr:MW22704_4271","སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་འགྲེལ་བ།"
"bdr:WA0RT3322","bdr:MW1KG13126_5482","སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།"
"bdr:WA0RT3322","bdr:MW2KG5015_4271","སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་འགྲེལ་བ།"
"bdr:WA0RT3322","bdr:MW23702_3485","སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།"
"bdr:WA0RT3322","bdr:MW23703_3982","སངས་རྒྱས་རྗེས་སུ་དྲན་པའི་འགྲེལ་བ།"
"bdr:WA0RT3323","bdr:MW1KG13126_5483","ཆོས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།"
"bdr:WA0RT3323","bdr:MW22704_4272","ཆོས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།"
"bdr:WA0RT3323","bdr:MW1PD95844_3214","ཆོས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།"
"bdr:WA0RT3323","bdr:MW23703_3983","ཆོས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།"
"bdr:WA0RT3323","bdr:MW23702_3486","ཆོས་རྗེས་སུ་དྲན་གྱི་འགྲེལ་པ།"
"bdr:WA0RT3323","bdr:MW2KG5015_4272","ཆོས་རྗེས་སུ་དྲན་པའི་འགྲེལ་པ།"
"bdr:WA0RT3324","bdr:MW2KG5015_4273","དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།"
"bdr:WA0RT3324","bdr:MW1KG13126_5484","དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།"
"bdr:WA0RT3324","bdr:MW23703_3984","དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།"
"bdr:WA0RT3324","bdr:MW1PD95844_3215","དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།"
"bdr:WA0RT3324","bdr:MW23702_3487","དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།"
"bdr:WA0RT3324","bdr:MW22704_4273","དགེ་འདུན་རྗེས་སུ་དྲན་པའི་བཤད་པ།"
"bdr:WA0RTI3364","bdr:IE0GR0344","Ratnagotravibhaga"
"bdr:WA0RT3364","bdr:MW2KG5015_4315","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3364","bdr:MW1PD95844_3257","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3364","bdr:MW1KG13126_5526","ཐེག་པ་ཆེན་པོའི་རྒྱུད་བླ་མའི་བསྟན་བཅོས་ཀྱི་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3364","bdr:MW23703_4025","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3364","bdr:MW22704_4315","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3364","bdr:MW23702_3529","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས་རྣམ་པར་བཤད་པ།"
"bdr:WA0RT3374","bdr:MW2KG5015_4325","རྣལ་འབྱོར་སྤྱོད་པའི་ས།"
"bdr:WA0RT3374","bdr:MW1KG13126_5536","རྣལ་འབྱོར་སྤྱོད་པའི་ས།"
"bdr:WA0RT3374","bdr:MW23702_3539","རྣལ་འབྱོར་སྤྱོད་པའི་ས། བམ་པོ་དང་པོ།"
"bdr:WA0RT3374","bdr:MW22704_4325","རྣལ་འབྱོར་སྤྱོད་པའི་ས།"
"bdr:WA0RT3374","bdr:MW1PD95844_3267","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།"
"bdr:WA0RT3374","bdr:MW23703_4035","རྣལ་འབྱོར་སྤྱོད་པའི་ས།"
"bdr:WA0RT3376","bdr:MW23702_3541","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།"
"bdr:WA0RT3376","bdr:MW23703_4037","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།"
"bdr:WA0RT3376","bdr:MW1PD95844_3267B","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།"
"bdr:WA0RT3376","bdr:MW22704_4327","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།"
"bdr:WA0RT3376","bdr:MW1KG13126_5538","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།"
"bdr:WA0RT3376","bdr:MW2KG5015_4327","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་བྱང་ཆུབ་སེམས་དཔའི་ས།"
"bdr:WA0RT3377","bdr:MW1PD95844_3268","རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ།"
"bdr:WA0RT3377","bdr:MW2KG5015_4328","རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ།"
"bdr:WA0RT3377","bdr:MW22704_4328","རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ།"
"bdr:WA0RT3377","bdr:MW23703_4038","རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ།"
"bdr:WA0RT3377","bdr:MW1KG13126_5539","རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ།"
"bdr:WA0RT3377","bdr:MW23702_3542","རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་པ།"
"bdr:WA0RT3378","bdr:MW1KG13126_5540","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་གཞི་བསྡུ་བ།"
"bdr:WA0RT3378","bdr:MW2KG5015_4329","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་གཞི་བསྡུ་བ།"
"bdr:WA0RT3378","bdr:MW1PD95844_3269","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་གཞི་བསྡུ་བ།"
"bdr:WA0RT3378","bdr:MW23703_4039","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་གཞི་བསྡུ་བ་བཞུགས།"
"bdr:WA0RT3378","bdr:MW22704_4329","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་གཞི་བསྡུ་བ།"
"bdr:WA0RT3378","bdr:MW23702_3543","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་གཞི་བསྡུ་པ།"
"bdr:WA0RT3379","bdr:MW23702_3544","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་འདུལ་བ་བསྡུ་པ།"
"bdr:WA0RT3379","bdr:MW23703_4040","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་འདུལ་བ་བསྡུ་བ།"
"bdr:WA0RT3379","bdr:MW22704_4330","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་འདུལ་བ་བསྡུ་བ།"
"bdr:WA0RT3379","bdr:MW1PD95844_3269A","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་གཞི་བསྡུ་བ།"
"bdr:WA0RT3379","bdr:MW2KG5015_4330","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་འདུལ་བ་བསྡུ་བ།"
"bdr:WA0RT3379","bdr:MW1KG13126_5541","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་འདུལ་བ་བསྡུ་བ།"
"bdr:WA0RT3380","bdr:MW23702_3545","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་པ།"
"bdr:WA0RT3380","bdr:MW2KG5015_4331","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།"
"bdr:WA0RT3380","bdr:MW22704_4331","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།"
"bdr:WA0RT3380","bdr:MW1PD95844_3270","རྣམ་གྲངས་བསྡུ་བ།"
"bdr:WA0RT3380","bdr:MW23703_4041","རྣམ་གྲངས་བསྡུ་བ་བཞུགས།"
"bdr:WA0RT3380","bdr:MW1KG13126_5542","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་གྲངས་བསྡུ་བ།"
"bdr:WA0RT3381","bdr:MW22704_4332","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་པར་བཤད་པ་བསྡུ་བ།"
"bdr:WA0RT3381","bdr:MW23703_4042","རྣམ་བཤད་བསྡུ་བ་བཞུགས།"
"bdr:WA0RT3381","bdr:MW2KG5015_4332","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་པར་བཤད་པ་བསྡུ་བ།"
"bdr:WA0RT3381","bdr:MW23702_3546","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་པར་བཤད་པ་བསྡུ་པ།"
"bdr:WA0RT3381","bdr:MW1PD95844_3271","རྣམ་བཤད་བསྡུ་བ།"
"bdr:WA0RT3381","bdr:MW1KG13126_5543","རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་རྣམ་པར་བཤད་པ་བསྡུ་བ།"
"bdr:WA0RT3387","bdr:MW2KG5015_4338","ཐེག་པ་ཆེན་པོ་བསྡུས་པ།"
"bdr:WA0RT3387","bdr:MW1PD95844_3277","ཐེག་པ་ཆེན་པོ་བསྡུས་པ།"
"bdr:WA0RT3387","bdr:MW1KG13126_5549","ཐེག་པ་ཆེན་པོ་བསྡུས་པ།"
"bdr:WA0RT3387","bdr:MW23703_4048","ཐེག་པ་ཆེན་པོ་བསྡུས་པ།"
"bdr:WA0RT3387","bdr:MW23702_3552","ཐེག་པ་ཆེན་པོ་བསྡུས་པ།"
"bdr:WA0RT3387","bdr:MW22704_4338","ཐེག་པ་ཆེན་པོ་བསྡུས་པ།"
"bdr:WA0RT3388","bdr:MW23702_3553","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ།"
"bdr:WA0RT3388","bdr:MW1PD95844_3278","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ།"
"bdr:WA0RT3388","bdr:MW22704_4339","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ།"
"bdr:WA0RT3388","bdr:MW1KG13126_5550","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ།"
"bdr:WA0RT3388","bdr:MW2KG5015_4339","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ།"
"bdr:WA0RT3388","bdr:MW23703_4049","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ།"
"bdr:WA0RT3411","bdr:MW2KG5015_4363","བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག"
"bdr:WA0RT3411","bdr:MW23703_4073","བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག"
"bdr:WA0RT3411","bdr:MW1KG13126_5574","བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག"
"bdr:WA0RT3411","bdr:MW23702_3577","བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག"
"bdr:WA0RT3411","bdr:MW1PD95844_3302","བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག"
"bdr:WA0RT3411","bdr:MW22704_4363","བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག"
"bdr:WA0RT4139","bdr:MW23703_3550","ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་སྒྲུབ་ཐབས།"
"bdr:WA0RT4139","bdr:MW22704_3166","ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་སྒྲུབ་ཐབས།"
"bdr:WA0RT4139","bdr:MW2KG5015_3166","ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་སྒྲུབ་ཐབས།"
"bdr:WA0RT4139","bdr:MW1KG13126_4372","ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་སྒྲུབ་ཐབས།"
"bdr:WA0RT4330","bdr:MW22704_3264","འཕགས་པ་བྱམས་པའི་སྒྲུབ་ཐབས།"
"bdr:WA0RT4330","bdr:MW2KG5015_3264","འཕགས་པ་བྱམས་པའི་སྒྲུབ་ཐབས།"
"bdr:WA0RT4330","bdr:MW23703_3648","འཕགས་པ་བྱམས་པའི་སྒྲུབ་ཐབས།"
"bdr:WA0NGMCP64649","bdr:MW0NGMCP64649","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་ཆོས་རྣམ་བཤད།"
"bdr:WA0NGMCP67982","bdr:MW0NGMCP67982","རྒྱལ་སྲས་ཐོགས་མེད་ཀྱི་མཛད་པའི་ལག་ལེན་སོ་བདུན་མ།"
"bdr:WA1KG8853","conceptual","ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ།"
"bdr:WA00KG02746","conceptual","ཐེག་པ་ཆེན་པོ་རྒྱུད་བླ་མའི་བསྟན་བཅོས།"
"bdr:WA00KG02837","conceptual","རྒྱུད་བླ་མ།"
